timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784977083.083105,10.0.31.1,Reitoria,0,55.966
1784977083.239955,10.0.31.1,Reitoria,1,55.959
1784977138.365591,10.0.21.1,Laboratorios,0,3.059
1784977138.366177,10.0.11.1,Biblioteca,0,3.224
1784977138.462366,10.0.31.1,Reitoria,2,0.246
1784977138.466881,10.0.21.1,Laboratorios,1,0.318
1784977138.471044,10.0.11.1,Biblioteca,1,0.254
1784977138.568054,10.0.31.1,Reitoria,3,0.394
1784977138.568320,10.0.21.1,Laboratorios,2,0.272
1784977138.572463,10.0.11.1,Biblioteca,2,0.432
1784977138.671466,10.0.21.1,Laboratorios,3,1.162
1784977138.671895,10.0.31.1,Reitoria,4,1.215
1784977138.675083,10.0.11.1,Biblioteca,3,0.808
1784977138.773373,10.0.31.1,Reitoria,5,0.325
1784977138.773484,10.0.21.1,Laboratorios,4,0.220
1784977138.776509,10.0.11.1,Biblioteca,4,0.244
1784977138.874343,10.0.31.1,Reitoria,6,0.357
1784977138.876012,10.0.21.1,Laboratorios,5,0.280
1784977138.877397,10.0.11.1,Biblioteca,5,0.304
1784977138.978386,10.0.31.1,Reitoria,7,1.346
1784977138.978100,10.0.21.1,Laboratorios,6,1.049
1784977138.980133,10.0.11.1,Biblioteca,6,0.748
1784977139.082397,10.0.31.1,Reitoria,8,1.462
1784977139.084579,10.0.21.1,Laboratorios,7,0.700
1784977139.086906,10.0.11.1,Biblioteca,7,0.891
1784977139.189378,10.0.31.1,Reitoria,9,1.239
1784977139.189989,10.0.11.1,Biblioteca,8,1.850
1784977139.189725,10.0.21.1,Laboratorios,8,0.980
1784977139.293805,10.0.11.1,Biblioteca,9,1.768
1784977139.294639,10.0.21.1,Laboratorios,9,1.514
1784977139.295362,10.0.31.1,Reitoria,10,0.875
1784977139.398125,10.0.11.1,Biblioteca,10,1.745
1784977139.400465,10.0.21.1,Laboratorios,10,0.834
1784977139.401183,10.0.31.1,Reitoria,11,1.271
1784977139.502157,10.0.11.1,Biblioteca,11,1.535
1784977139.504988,10.0.21.1,Laboratorios,11,1.331
1784977139.504544,10.0.31.1,Reitoria,12,1.302
1784977139.608114,10.0.21.1,Laboratorios,12,1.588
1784977139.607782,10.0.31.1,Reitoria,13,1.256
1784977139.609674,10.0.11.1,Biblioteca,12,0.927
1784977139.711481,10.0.31.1,Reitoria,14,0.794
1784977139.712007,10.0.11.1,Biblioteca,13,0.923
1784977139.712432,10.0.21.1,Laboratorios,13,1.745
1784977139.813866,10.0.21.1,Laboratorios,14,0.685
1784977139.814099,10.0.31.1,Reitoria,15,0.507
1784977139.814469,10.0.11.1,Biblioteca,14,0.691
1784977139.917984,10.0.21.1,Laboratorios,15,0.720
1784977139.918723,10.0.31.1,Reitoria,16,0.492
1784977139.918905,10.0.11.1,Biblioteca,15,1.115
1784977140.022374,10.0.31.1,Reitoria,17,1.035
1784977140.022800,10.0.11.1,Biblioteca,16,1.461
1784977140.023363,10.0.21.1,Laboratorios,16,0.358
1784977140.128035,10.0.31.1,Reitoria,18,0.649
1784977140.128435,10.0.11.1,Biblioteca,17,0.500
1784977140.129515,10.0.21.1,Laboratorios,17,0.483
1784977140.232774,10.0.21.1,Laboratorios,18,0.782
1784977140.233178,10.0.31.1,Reitoria,19,0.481
1784977140.234159,10.0.11.1,Biblioteca,18,0.902
1784977140.335193,10.0.31.1,Reitoria,20,0.576
1784977140.336937,10.0.21.1,Laboratorios,19,0.729
1784977140.337215,10.0.11.1,Biblioteca,19,0.620
1784977140.439380,10.0.21.1,Laboratorios,20,0.627
1784977140.439907,10.0.31.1,Reitoria,21,0.415
1784977140.441334,10.0.11.1,Biblioteca,20,1.537
1784977140.545977,10.0.11.1,Biblioteca,21,1.360
1784977140.546335,10.0.21.1,Laboratorios,21,0.599
1784977140.546758,10.0.31.1,Reitoria,22,1.240
1784977140.649301,10.0.21.1,Laboratorios,22,1.651
1784977140.648956,10.0.31.1,Reitoria,23,1.135
1784977140.649584,10.0.11.1,Biblioteca,22,1.882
1784977140.753693,10.0.21.1,Laboratorios,23,0.748
1784977140.754176,10.0.31.1,Reitoria,24,1.231
1784977140.755554,10.0.11.1,Biblioteca,23,0.478
1784977140.855830,10.0.21.1,Laboratorios,24,0.731
1784977140.856119,10.0.31.1,Reitoria,25,0.985
1784977140.857187,10.0.11.1,Biblioteca,24,0.438
